"id","__typename","_deleted","_lastChangedAt","_version","bribe","createdAt","district_en","district_km","friendliness","health_centre_en","health_centre_km","province_en","province_km","quality","speed","submitted","updatedAt","version","visited_date"
"184af960-0cd8-11ee-b66b-f31e550dff23","YobolHealthFeedback","0","1690388960","1","false","2023-06-17T06:27:56.728Z","Kampong Cham / Kampong Cham","កំពង់ចាម/កំពង់សៀម","3","Veal Veal Health Center","មណ្ឌលសុខភាព វាលវង់","Kampong Cham","កំពង់ចាម","3","3","2023-06-17T06:27:55.511Z","2023-07-28T11:11:47.951Z","5","2023-05"
"9b5d9bd0-0a87-11ee-a714-c52d62cf941b","YobolHealthFeedback","0","1690388960","1","false","2023-06-14T07:46:42.139Z","Ban Lung Municipality","បានលុង","4","Banlung Health Center","មណ្ឌលសុខភាពបានលុង","Trailery","រតនគិរី","3","4","2023-06-14T07:46:43.853Z","2023-07-28T11:11:48.308Z","5","2023-05"
"d653c650-0d85-11ee-8898-bf91d7737860","YobolHealthFeedback","0","1690388961","1","false","2023-06-18T03:11:38.378Z","Siem Reap","សៀមរាប","4","Por Meanchey Health Center","មណ្ឌលសុខភាពពោធិមានជ័យ","Siem Reap City","ក្រុងសៀមរាប","4","3","2023-06-18T03:11:37.269Z","2023-07-28T11:11:48.483Z","5","2023-01"
"32b5d4e0-09d7-11ee-a901-f342fdc32d2b","YobolHealthFeedback","0","1690388961","1","false","2023-06-13T10:43:56.678Z","Ban Lung Municipality","បានលុង","3","Banlung Health Center","មណ្ឌលសុខភាពបានលុង","Trailery","រតនគិរី","3","3","2023-06-13T10:43:56.846Z","2023-07-28T11:11:48.654Z","5","2020-04"
"2bfaee40-0e4d-11ee-9b95-05371b90a2a4","YobolHealthFeedback","0","1690388961","1","false","2023-06-19T02:58:31.484Z","Siem Reap","សៀមរាប","3","Siem Reap Health Center","មណ្ឌលសុខភាពជ្រាវ","Siem Reap City","ក្រុងសៀមរាប","3","3","2023-06-19T02:58:30.820Z","2023-07-28T11:11:48.827Z","5","2022-02"
"f3e7efb0-0d81-11ee-844b-159c22288cf7","YobolHealthFeedback","0","1690388961","1","false","2023-06-18T02:43:49.728Z","Siem Reap","សៀមរាប","4","Health Center","មណ្ឌលសុខភាពក្របីរៀល","Siem Reap City","ក្រុងសៀមរាប","3","4","2023-06-18T02:43:48.908Z","2023-07-28T11:11:49.003Z","5","2019-04"
"39f35d50-0b25-11ee-8bb2-4b4f8fa455e6","YobolHealthFeedback","0","1690388961","1","false","2023-06-15T02:35:01.872Z","Ban Lung Municipality","បានលុង","4","Banlung Health Center","មណ្ឌលសុខភាពបានលុង","Trailery","រតនគិរី","3","3","2023-06-15T02:35:00.902Z","2023-07-28T11:11:49.176Z","5","2023-05"
"a5d3a770-0c2c-11ee-b596-d7864093f448","YobolHealthFeedback","0","1690388962","1","false","2023-06-16T10:00:41.266Z","Siem Reap","សៀមរាប","4","Health Center","មណ្ឌលសុខភាពក្របីរៀល","Siem Reap City","ក្រុងសៀមរាប","3","3","2023-06-16T10:00:39.528Z","2023-07-28T11:11:49.346Z","5","2022-09"
"4f3a0180-0a5a-11ee-9e1a-2f15e9f1ecad","YobolHealthFeedback","0","1690388962","1","false","2023-06-14T02:22:29.980Z","Ban Lung Municipality","បានលុង","5","Banlung Health Center","មណ្ឌលសុខភាពបានលុង","Trailery","រតនគិរី","4","3","2023-06-14T02:22:28.761Z","2023-07-28T11:11:49.518Z","5","2019-02"
"833a9da0-0a8c-11ee-8bcb-3592a5660356","YobolHealthFeedback","0","1690388962","1","false","2023-06-14T08:21:47.572Z","Ban Lung Municipality","បានលុង","4","Banlung Health Center","មណ្ឌលសុខភាពបានលុង","Trailery","រតនគិរី","3","4","2023-06-14T08:21:50.842Z","2023-07-28T11:11:49.689Z","5","2019-06"
